         10032344 function calls (9987505 primitive calls) in 593.601 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5080    0.018    0.000    0.579    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:607(axes)
     2558    0.006    0.000    0.563    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:1149(set_markerfacecolor)
     5056    0.026    0.000    0.558    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:162(connect)
     5056    0.524    0.000    0.527    0.000 C:\Program Files\Python37\lib\weakref.py:44(__new__)
     2522    0.520    0.000    0.520    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2428(<listcomp>)
     2522    0.011    0.000    0.506    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3469(set_ybound)
     5044    0.042    0.000    0.490    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:726(union)
        1    0.000    0.000    0.485    0.485 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:507(fl_image)
        1    0.000    0.000    0.485    0.485 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:96(fl)
        1    0.000    0.000    0.485    0.485 <decorator-gen-57>:1(set_make_frame)
        1    0.000    0.000    0.485    0.485 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:10(outplace)
        1    0.001    0.001    0.485    0.485 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:661(set_make_frame)
     2524    0.030    0.000    0.467    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3532(set_ylim)
    25222    0.030    0.000    0.463    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2016(all)
     2522    0.106    0.000    0.450    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\polynomial.py:393(polyfit)
   165749    0.448    0.000    0.448    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.439    0.439 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\VideoFileClip.py:78(__init__)
    10092    0.016    0.000    0.400    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1460(update_units)
20184/10092    0.292    0.000    0.384    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:140(get_converter)
     2522    0.361    0.000    0.361    0.000 {method 'draw_bitmap' of 'ImagingDraw' objects}
7566/5044    0.010    0.000    0.342    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2400(__eq__)
     5048    0.009    0.000    0.338    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2107(_process_unit_info)
     2522    0.012    0.000    0.335    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3061(set_xbound)
     2522    0.003    0.000    0.330    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1655(__eq__)
    10096    0.010    0.000    0.329    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2110(_process_single_axis)
     2534    0.006    0.000    0.327    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:939(get_path)
     2522    0.008    0.000    0.327    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2292(__eq__)
     2552    0.282    0.000    0.326    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:793(unit)
     2534    0.065    0.000    0.321    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:637(recache)
5046/5044    0.025    0.000    0.318    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1741(__eq__)
    10088    0.120    0.000    0.304    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2350(within_tol)
     2524    0.033    0.000    0.293    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3142(set_xlim)
     2554    0.256    0.000    0.290    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:819(from_extents)
     5044    0.282    0.000    0.282    0.000 {built-in method builtins.sum}
        1    0.002    0.002    0.240    0.240 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_reader.py:25(__init__)
     2738    0.004    0.000    0.233    0.000 C:\Program Files\Python37\lib\contextlib.py:107(__enter__)
     5476    0.225    0.000    0.231    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1981(_setattr_cm)
     2522    0.167    0.000    0.231    0.000 C:\Program Files\Python37\lib\site-packages\numpy\linalg\linalg.py:2028(lstsq)
        1    0.000    0.000    0.199    0.199 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\AudioFileClip.py:66(__init__)
        1    0.000    0.000    0.199    0.199 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:41(__init__)
    21437    0.027    0.000    0.195    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2337(amin)
    23959    0.195    0.000    0.195    0.000 {built-in method numpy.core.multiarray.zeros}
        2    0.000    0.000    0.190    0.095 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_reader.py:228(ffmpeg_parse_infos)
    15136    0.140    0.000    0.188    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2861(nonsingular)
        3    0.174    0.058    0.174    0.058 {method 'readline' of '_io.BufferedReader' objects}
     2550    0.009    0.000    0.167    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2001(rotate_deg_around)
80074/62068    0.081    0.000    0.159    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:225(stale)
    42318    0.036    0.000    0.153    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:976(argmax)
    27765    0.014    0.000    0.143    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\_methods.py:45(_all)
     2738    0.004    0.000    0.142    0.000 C:\Program Files\Python37\lib\contextlib.py:237(helper)
   233211    0.084    0.000    0.140    0.000 {built-in method builtins.isinstance}
     2738    0.136    0.000    0.138    0.000 C:\Program Files\Python37\lib\contextlib.py:81(__init__)
     5044    0.072    0.000    0.130    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2445(<listcomp>)
     1261    0.128    0.000    0.128    0.000 {built-in method nt.scandir}
    10154    0.046    0.000    0.127    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:757(__init__)
    44845    0.034    0.000    0.125    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:49(_wrapfunc)
    20176    0.052    0.000    0.123    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2491(seterr)
    10096    0.037    0.000    0.118    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3124(_validate_converted_limits)
    17677    0.017    0.000    0.115    0.000 {method 'all' of 'numpy.ndarray' objects}
     2522    0.016    0.000    0.110    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:202(_xy_from_xy)
        1    0.000    0.000    0.107    0.107 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:219(buffer_around)
        1    0.007    0.007    0.107    0.107 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:110(read_chunk)
    50666    0.022    0.000    0.106    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:504(asanyarray)
   861789    0.105    0.000    0.105    0.000 {method 'append' of 'list' objects}
   165467    0.080    0.000    0.098    0.000 {built-in method builtins.getattr}
     5100    0.014    0.000    0.095    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2013(translate)
    38061    0.018    0.000    0.094    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:433(asarray)
     1261    0.013    0.000    0.093    0.000 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:933(__repr__)
    10088    0.014    0.000    0.089    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2891(__enter__)
    72500    0.065    0.000    0.087    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\__init__.py:870(__getitem__)
     2522    0.022    0.000    0.086    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:4251(get_children)
     5044    0.019    0.000    0.085    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:2004(view_limits)
    12765    0.025    0.000    0.085    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:123(invalidate)
     2522    0.007    0.000    0.080    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:855(update_from_path)
     1261    0.027    0.000    0.079    0.000 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:236(format_meter)
    15140    0.016    0.000    0.079    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1519(convert_units)
     2542    0.010    0.000    0.077    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:96(__init__)
    42318    0.075    0.000    0.075    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    12614    0.014    0.000    0.075    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:55(_stale_figure_callback)
     3783    0.013    0.000    0.074    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\shape_base.py:646(<listcomp>)
   682201    0.074    0.000    0.074    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
     2522    0.009    0.000    0.073    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\shape_base.py:182(vstack)
     2558    0.006    0.000    0.073    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:223(__init__)
     2522    0.070    0.000    0.072    0.000 {built-in method matplotlib._path.update_path_extents}
     1261    0.031    0.000    0.072    0.000 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:27(__init__)
     5046    0.010    0.000    0.070    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:927(set_label)
     5044    0.005    0.000    0.070    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:733(<listcomp>)
    10088    0.025    0.000    0.069    0.000 {method 'all' of 'numpy.generic' objects}
    12682    0.013    0.000    0.068    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:179(convert_xunits)
     1262    0.021    0.000    0.067    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:406(figure)
    15140    0.022    0.000    0.065    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1624(safe_first_element)
     2522    0.009    0.000    0.065    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:917(gca)
     5044    0.010    0.000    0.064    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:336(xmin)
     2522    0.032    0.000    0.064    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\twodim_base.py:443(vander)
    32839    0.063    0.000    0.063    0.000 {method 'extend' of 'list' objects}
    15140    0.019    0.000    0.063    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:117(is_numlike)
     2550    0.018    0.000    0.063    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1981(rotate_deg)
    11349    0.042    0.000    0.061    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\shape_base.py:115(atleast_3d)
     2542    0.025    0.000    0.060    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:193(_update_values)
    10088    0.012    0.000    0.060    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2896(__exit__)
17839/12765    0.057    0.000    0.059    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:134(_invalidate_internal)
     2558    0.018    0.000    0.058    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:294(set_marker)
     2628    0.035    0.000    0.057    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:82(__init__)
     2522    0.021    0.000    0.056    0.000 C:\Program Files\Python37\lib\site-packages\PIL\ImageDraw.py:332(Draw)
    50537    0.019    0.000    0.056    0.000 C:\Program Files\Python37\lib\abc.py:137(__instancecheck__)
     5392    0.009    0.000    0.056    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:61(_stale_axes_callback)
    12682    0.012    0.000    0.055    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:188(convert_yunits)
    10092    0.030    0.000    0.054    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:958(get_siblings)
     2534    0.015    0.000    0.049    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\stride_tricks.py:198(broadcast_arrays)
     5044    0.018    0.000    0.049    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2449(<listcomp>)
    20176    0.045    0.000    0.048    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2592(geterr)
     2738    0.003    0.000    0.047    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:916(<listcomp>)
     5044    0.005    0.000    0.047    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:734(<listcomp>)
     2550    0.027    0.000    0.045    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1965(rotate)
     2558    0.008    0.000    0.044    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:889(_update_property)
     5044    0.010    0.000    0.042    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:350(xmax)
     5044    0.005    0.000    0.041    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:735(<listcomp>)
     2538    0.014    0.000    0.041    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\shape_base.py:555(column_stack)
    12612    0.014    0.000    0.041    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:558(_auto_draw_if_interactive)
     2522    0.006    0.000    0.040    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:1820(gca)
    15458    0.037    0.000    0.040    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:310(pchanged)
