         352011 function calls (346452 primitive calls) in 9.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      448    0.014    0.000    0.014    0.000 C:\Program Files\Python37\lib\contextlib.py:81(__init__)
     1740    0.003    0.000    0.014    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:55(_stale_figure_callback)
     1244    0.002    0.000    0.013    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:61(_stale_axes_callback)
       16    0.000    0.000    0.013    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:840(set_tick_params)
     1280    0.004    0.000    0.013    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2491(seterr)
      160    0.006    0.000    0.012    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2426(<listcomp>)
       64    0.012    0.000    0.012    0.000 {fillPoly}
        8    0.003    0.000    0.012    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\common.py:125(draw_lines)
      392    0.001    0.000    0.012    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:247(_recache)
      338    0.004    0.000    0.012    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:82(__init__)
      238    0.002    0.000    0.012    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:920(_set_artist_props)
        4    0.000    0.000    0.012    0.003 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2725(grid)
        8    0.000    0.000    0.012    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1418(grid)
     2636    0.002    0.000    0.012    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:504(asanyarray)
     1216    0.002    0.000    0.011    0.000 {method 'all' of 'numpy.ndarray' objects}
     7389    0.008    0.000    0.011    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\__init__.py:870(__getitem__)
      253    0.001    0.000    0.010    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:96(__init__)
        8    0.000    0.000    0.010    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:571(__exit__)
        8    0.010    0.001    0.010    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:574(close)
      320    0.005    0.000    0.010    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2445(<listcomp>)
      160    0.001    0.000    0.010    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:202(_xy_from_xy)
    12818    0.007    0.000    0.009    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python37\lib\site-packages\PIL\JpegImagePlugin.py:35(<module>)
      662    0.009    0.000    0.009    0.000 {line}
      144    0.001    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:609(_set_star)
      360    0.006    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:2905(_update_from)
      144    0.002    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:39(_process_plot_format)
        8    0.000    0.000    0.009    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\color.py:59(grayscale)
        4    0.000    0.000    0.009    0.002 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:923(set_clip_path)
     1256    0.002    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1519(convert_units)
  480/320    0.001    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2400(__eq__)
      714    0.001    0.000    0.009    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1267(__add__)
      260    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1981(rotate_deg)
      520    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2013(translate)
      262    0.001    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:793(unit)
      224    0.001    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\colors.py:150(to_rgba)
     1457    0.003    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:123(invalidate)
     4441    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\abc.py:137(__instancecheck__)
      160    0.000    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1655(__eq__)
     1256    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1624(safe_first_element)
       16    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       72    0.001    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2071(update_datalim)
     1738    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:558(_auto_draw_if_interactive)
      714    0.002    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2536(composite_transform_factory)
      160    0.001    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2292(__eq__)
      253    0.003    0.000    0.008    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:193(_update_values)
       18    0.007    0.000    0.007    0.000 {built-in method io.open}
     1160    0.002    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:179(convert_xunits)
      640    0.001    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2896(__exit__)
        6    0.000    0.000    0.007    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:2189(_get_tick)
      640    0.001    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2891(__enter__)
        6    0.000    0.000    0.007    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1813(_get_tick)
      320    0.001    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:2004(view_limits)
     1256    0.002    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:117(is_numlike)
        2    0.000    0.000    0.007    0.003 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:588(_init_axis)
       32    0.000    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:766(_set_scale)
  322/320    0.002    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1741(__eq__)
      288    0.001    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:294(_extremum_fill_value)
        1    0.000    0.000    0.007    0.007 C:\Program Files\Python37\lib\site-packages\PIL\TiffImagePlugin.py:42(<module>)
      640    0.002    0.000    0.007    0.000 {method 'all' of 'numpy.generic' objects}
     1160    0.002    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:188(convert_yunits)
       32    0.000    0.000    0.007    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\scale.py:63(set_default_locators_and_formatters)
       62    0.006    0.000    0.006    0.000 {built-in method nt.stat}
    16468    0.006    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:962(sticky_edges)
      260    0.004    0.000    0.006    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1965(rotate)
