         10032344 function calls (9987505 primitive calls) in 661.169 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20176    0.059    0.000    0.139    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2491(seterr)
     1261    0.137    0.000    0.137    0.000 {built-in method nt.scandir}
    17677    0.019    0.000    0.136    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.129    0.129 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:219(buffer_around)
        1    0.006    0.006    0.128    0.128 C:\Program Files\Python37\lib\site-packages\moviepy\audio\io\readers.py:110(read_chunk)
     5100    0.015    0.000    0.124    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2013(translate)
     2522    0.019    0.000    0.124    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:202(_xy_from_xy)
   861789    0.121    0.000    0.121    0.000 {method 'append' of 'list' objects}
    50666    0.025    0.000    0.121    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:504(asanyarray)
   165467    0.095    0.000    0.115    0.000 {built-in method builtins.getattr}
     2738    0.006    0.000    0.112    0.000 C:\Program Files\Python37\lib\contextlib.py:237(helper)
    12765    0.026    0.000    0.111    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:123(invalidate)
    38061    0.021    0.000    0.106    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:433(asarray)
     2738    0.104    0.000    0.106    0.000 C:\Program Files\Python37\lib\contextlib.py:81(__init__)
     1261    0.014    0.000    0.104    0.000 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:933(__repr__)
    72500    0.076    0.000    0.101    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\__init__.py:870(__getitem__)
    10088    0.013    0.000    0.098    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2891(__enter__)
     5044    0.017    0.000    0.096    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\ticker.py:2004(view_limits)
     2522    0.024    0.000    0.094    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:4251(get_children)
     1261    0.031    0.000    0.090    0.000 C:\Program Files\Python37\lib\site-packages\tqdm\_tqdm.py:236(format_meter)
    15140    0.019    0.000    0.088    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1519(convert_units)
    42318    0.088    0.000    0.088    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    12614    0.015    0.000    0.087    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:55(_stale_figure_callback)
     2542    0.011    0.000    0.086    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:96(__init__)
     2522    0.007    0.000    0.086    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:855(update_from_path)
     2558    0.007    0.000    0.085    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:223(__init__)
17839/12765    0.082    0.000    0.085    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:134(_invalidate_internal)
   682201    0.084    0.000    0.084    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
     2522    0.009    0.000    0.081    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\shape_base.py:182(vstack)
     3783    0.014    0.000    0.081    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\shape_base.py:646(<listcomp>)
     2522    0.010    0.000    0.081    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:917(gca)
     5044    0.006    0.000    0.080    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:733(<listcomp>)
     2522    0.076    0.000    0.078    0.000 {built-in method matplotlib._path.update_path_extents}
    12682    0.015    0.000    0.078    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:179(convert_xunits)
    10088    0.027    0.000    0.075    0.000 {method 'all' of 'numpy.generic' objects}
     1261    0.032    0.000    0.075    0.000 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\line.py:27(__init__)
    15140    0.024    0.000    0.075    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1624(safe_first_element)
     5044    0.012    0.000    0.074    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:336(xmin)
     1262    0.023    0.000    0.073    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:406(figure)
     5046    0.011    0.000    0.073    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:927(set_label)
     2522    0.035    0.000    0.070    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\twodim_base.py:443(vander)
    32839    0.069    0.000    0.069    0.000 {method 'extend' of 'list' objects}
     2550    0.019    0.000    0.069    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1981(rotate_deg)
    15140    0.019    0.000    0.069    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\units.py:117(is_numlike)
    15458    0.065    0.000    0.068    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:310(pchanged)
     2542    0.029    0.000    0.068    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\path.py:193(_update_values)
     2558    0.022    0.000    0.067    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\markers.py:294(set_marker)
    10088    0.013    0.000    0.067    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2896(__exit__)
    11349    0.045    0.000    0.066    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\shape_base.py:115(atleast_3d)
    50537    0.022    0.000    0.065    0.000 C:\Program Files\Python37\lib\abc.py:137(__instancecheck__)
     2522    0.023    0.000    0.064    0.000 C:\Program Files\Python37\lib\site-packages\PIL\ImageDraw.py:332(Draw)
     2628    0.039    0.000    0.062    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:82(__init__)
     5392    0.010    0.000    0.062    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:61(_stale_axes_callback)
    10092    0.033    0.000    0.061    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:958(get_siblings)
    12682    0.014    0.000    0.059    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:188(convert_yunits)
     5044    0.023    0.000    0.057    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2449(<listcomp>)
    20176    0.051    0.000    0.054    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2592(geterr)
     5044    0.006    0.000    0.054    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:734(<listcomp>)
     2534    0.016    0.000    0.054    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\stride_tricks.py:198(broadcast_arrays)
     2522    0.006    0.000    0.053    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:1820(gca)
     2550    0.030    0.000    0.050    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1965(rotate)
     2738    0.003    0.000    0.049    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:916(<listcomp>)
    12612    0.015    0.000    0.049    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:558(_auto_draw_if_interactive)
     5044    0.011    0.000    0.048    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:350(xmax)
     5044    0.006    0.000    0.047    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:735(<listcomp>)
     5044    0.006    0.000    0.047    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:736(<listcomp>)
     2558    0.008    0.000    0.046    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:889(_update_property)
